년도,월,나이,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 광남동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2021,8,총,"197,056","57,257","24,508","12,383","5,266","7,994",774,"1,339","12,963","11,194",,"9,194","20,015","17,269","16,900"
2021,8,0,"17,322","5,614","1,901",697,230,532,18,73,"1,016",779,,997,"1,505","1,339","2,621"
2021,8,10,"17,506","4,598","2,596",967,328,678,31,97,"1,132",991,,777,"1,824","1,388","2,099"
2021,8,20,"24,016","7,024","3,010","1,571",594,680,56,90,"1,822","1,479",,"1,230","2,677","2,277","1,506"
2021,8,30,"29,137","9,972","3,244","1,558",587,771,55,107,"1,872","1,558",,"1,420","2,772","2,449","2,772"
2021,8,40,"35,680","10,942","4,336","1,914",815,"1,369",77,196,"2,154","1,940",,"1,640","3,492","3,067","3,738"
2021,8,50,"32,967","8,585","4,393","2,531","1,054","1,360",146,258,"2,334","1,998",,"1,491","3,679","3,040","2,098"
2021,8,60,"25,769","6,663","3,241","1,985","1,031","1,507",216,293,"1,695","1,592",,"1,099","2,709","2,449","1,289"
2021,8,70,"10,952","2,908","1,312",817,449,813,107,145,703,659,,405,"1,036",996,602
2021,8,80,"3,424",867,443,315,163,254,61,74,225,181,,129,298,247,167
2021,8,90,272,80,30,27,14,28,7,6,9,17,,6,23,17,8
2021,8,100,11,4,2,1,1,2,0,0,1,0,,0,0,0,0
2021,9,총,"197,265","57,251","24,487","12,384","5,278","8,022",786,"1,334","13,204","11,210",,"9,179","19,966","17,285","16,879"
2021,9,0,"17,206","5,581","1,892",687,227,521,18,69,"1,058",764,,984,"1,476","1,332","2,597"
2021,9,10,"17,501","4,598","2,557",951,333,684,32,98,"1,144",989,,786,"1,819","1,393","2,117"
2021,9,20,"24,021","7,000","2,994","1,573",588,686,58,89,"1,863","1,484",,"1,204","2,682","2,298","1,502"
2021,9,30,"29,077","9,919","3,258","1,543",592,767,56,106,"1,928","1,561",,"1,422","2,744","2,446","2,735"
2021,9,40,"35,687","10,996","4,340","1,920",805,"1,367",78,189,"2,181","1,924",,"1,636","3,478","3,047","3,726"
2021,9,50,"33,118","8,603","4,385","2,539","1,067","1,379",145,257,"2,360","2,030",,"1,497","3,696","3,040","2,120"
2021,9,60,"25,906","6,680","3,258","2,004","1,035","1,510",223,297,"1,727","1,597",,"1,103","2,710","2,465","1,297"
